,Area,Location,No. of Bedrooms,City,price_lack
4271,720,Mundka,2.0,Delhi,4000000
4272,720,Mundka,2.0,Delhi,3900000
4273,720,Mundka,2.0,Delhi,4000000
4274,720,Mundka,2.0,Delhi,3800000
4275,720,Mundka,2.0,Delhi,4000000
4276,765,Mundka,2.0,Delhi,4000000
4277,765,Mundka,2.0,Delhi,3800000
4278,765,Mundka,2.0,Delhi,3600000
4279,765,Mundka,2.0,Delhi,3500000
4280,765,Mundka,2.0,Delhi,3500000
4281,765,Mundka,2.0,Delhi,4000000
4282,1300,Sector 2 Dwarka,2.0,Delhi,12000000
4283,1050,Mundka,3.0,Delhi,3600000
4284,1750,Sector 19 Dwarka,3.0,Delhi,16000000
4285,2500,Sector 12 Dwarka,5.0,Delhi,35000000
4286,4500,Sector 6 Dwarka,5.0,Delhi,45000000
4287,1600,Sector 12 Dwarka,3.0,Delhi,15000000
4288,1125,Sector 23 Rohini,3.0,Delhi,8200000
4289,1125,Sector 23 Rohini,3.0,Delhi,8000000
4290,1800,Sector 23 Dwarka,3.0,Delhi,17500000
4291,855,Jamia Nagar,3.0,Delhi,3700000
4292,855,Jamia Nagar,3.0,Delhi,3600000
4293,540,Jamia Nagar,2.0,Delhi,2500000
4294,1000,Jamia Nagar,3.0,Delhi,3800000
4295,855,Jamia Nagar,3.0,Delhi,3700000
4296,585,Jamia Nagar,2.0,Delhi,2200000
4297,855,Jamia Nagar,3.0,Delhi,3700000
4298,1600,Sector 3 Dwarka,3.0,Delhi,15800000
4299,2000,Sector 12 Dwarka,4.0,Delhi,20000000
4300,1800,Sector 23 Dwarka,3.0,Delhi,17500000
4301,900,Budh Vihar,3.0,Delhi,6000000
4302,1800,Sector 25 Rohini,4.0,Delhi,18500000
4303,585,Jamia Nagar,2.0,Delhi,2400000
4304,1700,Sector 11 Dwarka,3.0,Delhi,14900000
4305,1600,Sector 10 Dwarka,3.0,Delhi,16200000
4306,1800,Sector 10 Dwarka,3.0,Delhi,16000000
4307,1800,Sector 19 Dwarka,3.0,Delhi,15000000
4308,1750,Sector 22 Dwarka,3.0,Delhi,17500000
4309,1800,Sector-18 Dwarka,3.0,Delhi,16200000
4310,1800,Sector-18 Dwarka,3.0,Delhi,16200000
4311,1650,Sector 6 Dwarka,3.0,Delhi,16000000
4312,2500,Sector 13 Dwarka,4.0,Delhi,30000000
4313,1800,Sector 5 Dwarka,3.0,Delhi,15500000
4314,1050,Jamia Nagar,3.0,Delhi,3000000
4315,750,Jamia Nagar,2.0,Delhi,2500000
4316,750,Jamia Nagar,2.0,Delhi,2200000
4317,2700,Sector 19 Dwarka,4.0,Delhi,23000000
4318,1300,Dwarka Mor,4.0,Delhi,7500000
4319,1200,Dwarka Mor,4.0,Delhi,7000000
4320,1050,Dwarka Mor,3.0,Delhi,5500000
4321,875,Dwarka Mor,3.0,Delhi,4700000
4322,630,Dwarka Mor,2.0,Delhi,3200000
4323,750,Dwarka Mor,2.0,Delhi,4000000
4324,700,Dwarka Mor,2.0,Delhi,3500000
4325,850,Dwarka Mor,3.0,Delhi,4300000
4326,800,Dwarka Mor,3.0,Delhi,4100000
4327,750,Dwarka Mor,3.0,Delhi,3500000
4328,550,Dwarka Mor,2.0,Delhi,2500000
4329,900,Jamia Nagar,3.0,Delhi,3900000
4330,800,Jamia Nagar,3.0,Delhi,2600000
4331,675,Jamia Nagar,2.0,Delhi,2500000
4332,900,Jamia Nagar,3.0,Delhi,3900000
4333,980,Jamia Nagar,2.0,Delhi,2500000
4334,540,Jamia Nagar,2.0,Delhi,2500000
4335,675,Jamia Nagar,2.0,Delhi,3600000
